Date,Price
02-01-2015,52.72
05-01-2015,50.05
06-01-2015,47.98
07-01-2015,48.69
08-01-2015,48.8
09-01-2015,48.35
12-01-2015,46.06
13-01-2015,45.92
14-01-2015,48.49
15-01-2015,46.37
16-01-2015,48.49
20-01-2015,46.79
21-01-2015,47.85
22-01-2015,45.93
23-01-2015,45.26
26-01-2015,44.8
27-01-2015,45.84
28-01-2015,44.08
29-01-2015,44.12
30-01-2015,47.79
02-02-2015,49.25
03-02-2015,53.04
04-02-2015,48.45
05-02-2015,50.48
06-02-2015,51.66
09-02-2015,52.99
10-02-2015,50.06
11-02-2015,48.8
12-02-2015,51.17
13-02-2015,52.66
17-02-2015,53.56
18-02-2015,52.13
19-02-2015,51.12
20-02-2015,49.95
23-02-2015,49.56
24-02-2015,48.48
25-02-2015,50.25
26-02-2015,47.65
27-02-2015,49.84
02-03-2015,49.59
03-03-2015,50.43
04-03-2015,51.53
05-03-2015,50.76
06-03-2015,49.61
09-03-2015,49.95
10-03-2015,48.42
11-03-2015,48.06
12-03-2015,47.12
13-03-2015,44.88
16-03-2015,43.93
17-03-2015,43.39
18-03-2015,44.63
19-03-2015,44.02
20-03-2015,46
23-03-2015,47.4
24-03-2015,47.03
25-03-2015,48.75
26-03-2015,51.41
27-03-2015,48.83
30-03-2015,48.66
31-03-2015,47.72
01-04-2015,50.12
02-04-2015,49.13
06-04-2015,52.08
07-04-2015,53.95
08-04-2015,50.44
09-04-2015,50.79
10-04-2015,51.63
13-04-2015,51.95
14-04-2015,53.3
15-04-2015,56.25
16-04-2015,56.69
17-04-2015,55.71
20-04-2015,56.37
21-04-2015,55.58
22-04-2015,56.17
23-04-2015,56.59
24-04-2015,55.98
27-04-2015,55.56
28-04-2015,57.05
29-04-2015,58.55
30-04-2015,59.62
01-05-2015,59.1
04-05-2015,58.92
05-05-2015,60.38
06-05-2015,60.93
07-05-2015,58.99
08-05-2015,59.41
11-05-2015,59.23
12-05-2015,60.72
13-05-2015,60.5
14-05-2015,59.89
15-05-2015,59.73
18-05-2015,59.44
19-05-2015,57.3
20-05-2015,58.96
21-05-2015,60.18
22-05-2015,58.88
26-05-2015,57.29
27-05-2015,57.51
28-05-2015,57.69
29-05-2015,60.25
01-06-2015,60.24
02-06-2015,61.3
03-06-2015,59.67
04-06-2015,58
05-06-2015,59.11
08-06-2015,58.15
09-06-2015,60.15
10-06-2015,61.36
11-06-2015,60.74
12-06-2015,59.96
15-06-2015,59.53
16-06-2015,60.01
17-06-2015,59.89
18-06-2015,60.41
19-06-2015,59.62
22-06-2015,60.01
23-06-2015,61.05
24-06-2015,60.01
25-06-2015,59.59
26-06-2015,59.41
29-06-2015,58.34
30-06-2015,59.48
01-07-2015,56.94
02-07-2015,56.93
06-07-2015,52.48
07-07-2015,52.33
08-07-2015,51.61
09-07-2015,52.76
10-07-2015,52.74
13-07-2015,52.19
14-07-2015,53.05
15-07-2015,51.4
16-07-2015,50.9
17-07-2015,50.88
20-07-2015,50.11
21-07-2015,50.59
22-07-2015,49.27
23-07-2015,48.11
24-07-2015,47.98
27-07-2015,47.17
28-07-2015,47.97
29-07-2015,48.77
30-07-2015,48.53
31-07-2015,47.11
03-08-2015,45.25
04-08-2015,45.75
05-08-2015,45.13
06-08-2015,44.69
07-08-2015,43.87
10-08-2015,44.94
11-08-2015,43.11
12-08-2015,43.22
13-08-2015,42.27
14-08-2015,42.45
17-08-2015,41.93
18-08-2015,42.58
19-08-2015,40.75
20-08-2015,41
21-08-2015,40.45
24-08-2015,38.22
25-08-2015,39.15
26-08-2015,38.5
27-08-2015,42.47
28-08-2015,45.29
31-08-2015,49.2
01-09-2015,45.38
02-09-2015,46.3
03-09-2015,46.75
04-09-2015,46.02
08-09-2015,45.92
09-09-2015,44.13
10-09-2015,45.85
11-09-2015,44.75
14-09-2015,44.07
15-09-2015,44.58
16-09-2015,47.12
17-09-2015,46.93
18-09-2015,44.71
21-09-2015,46.67
22-09-2015,46.17
23-09-2015,44.53
24-09-2015,44.94
25-09-2015,45.55
28-09-2015,44.4
29-09-2015,45.24
30-09-2015,45.06
01-10-2015,44.75
02-10-2015,45.54
05-10-2015,46.28
06-10-2015,48.53
07-10-2015,47.86
08-10-2015,49.46
09-10-2015,49.67
12-10-2015,47.09
13-10-2015,46.7
14-10-2015,46.63
15-10-2015,46.38
16-10-2015,47.3
19-10-2015,45.91
20-10-2015,45.84
21-10-2015,45.22
22-10-2015,44.9
23-10-2015,43.91
26-10-2015,43.19
27-10-2015,43.21
28-10-2015,45.93
29-10-2015,46.02
30-10-2015,46.6
02-11-2015,46.12
03-11-2015,47.88
04-11-2015,46.32
05-11-2015,45.27
06-11-2015,44.32
09-11-2015,43.87
10-11-2015,44.23
11-11-2015,42.95
12-11-2015,41.74
13-11-2015,40.69
16-11-2015,41.68
17-11-2015,40.73
18-11-2015,40.75
19-11-2015,40.55
20-11-2015,39.39
23-11-2015,39.27
24-11-2015,40.89
25-11-2015,41.22
27-11-2015,40.57
30-11-2015,40.43
01-12-2015,40.58
02-12-2015,39.93
03-12-2015,41.08
04-12-2015,40
07-12-2015,37.64
08-12-2015,37.46
09-12-2015,37.16
10-12-2015,36.76
11-12-2015,35.65
14-12-2015,36.31
15-12-2015,37.32
16-12-2015,35.55
17-12-2015,34.98
18-12-2015,34.72
21-12-2015,34.55
22-12-2015,36.12
23-12-2015,36.76
24-12-2015,37.62
28-12-2015,36.36
29-12-2015,37.88
30-12-2015,36.59
31-12-2015,37.13
04-01-2016,36.81
05-01-2016,35.97
06-01-2016,33.97
07-01-2016,33.29
08-01-2016,33.2
11-01-2016,31.42
12-01-2016,30.42
13-01-2016,30.42
14-01-2016,31.22
15-01-2016,29.45
19-01-2016,28.47
20-01-2016,26.68
21-01-2016,29.55
22-01-2016,32.07
25-01-2016,30.31
26-01-2016,29.54
27-01-2016,32.32
28-01-2016,33.21
29-01-2016,33.66
01-02-2016,31.62
02-02-2016,29.9
03-02-2016,32.29
04-02-2016,31.63
05-02-2016,30.86
08-02-2016,29.71
09-02-2016,27.96
10-02-2016,27.54
11-02-2016,26.19
12-02-2016,29.32
16-02-2016,29.05
17-02-2016,30.68
18-02-2016,30.77
19-02-2016,29.59
22-02-2016,31.37
23-02-2016,31.84
24-02-2016,30.35
25-02-2016,31.4
26-02-2016,31.65
29-02-2016,32.74
01-03-2016,34.39
02-03-2016,34.57
03-03-2016,34.56
04-03-2016,35.91
07-03-2016,37.9
08-03-2016,36.67
09-03-2016,37.62
10-03-2016,37.77
11-03-2016,38.51
14-03-2016,37.2
15-03-2016,36.32
16-03-2016,38.43
17-03-2016,40.17
18-03-2016,39.47
21-03-2016,39.91
22-03-2016,41.45
23-03-2016,38.28
24-03-2016,38.14
28-03-2016,37.99
29-03-2016,36.91
30-03-2016,36.91
31-03-2016,36.94
01-04-2016,35.36
04-04-2016,34.3
05-04-2016,34.52
06-04-2016,37.74
07-04-2016,37.3
08-04-2016,39.74
11-04-2016,40.46
12-04-2016,42.12
13-04-2016,41.7
14-04-2016,41.45
15-04-2016,40.4
18-04-2016,39.74
19-04-2016,40.88
20-04-2016,42.72
21-04-2016,43.18
22-04-2016,42.76
25-04-2016,41.67
26-04-2016,42.52
27-04-2016,45.29
28-04-2016,46.03
29-04-2016,45.98
02-05-2016,44.75
03-05-2016,43.65
04-05-2016,43.77
05-05-2016,44.33
06-05-2016,44.58
09-05-2016,43.45
10-05-2016,44.68
11-05-2016,46.21
12-05-2016,46.64
13-05-2016,46.22
16-05-2016,47.72
17-05-2016,48.29
18-05-2016,48.12
19-05-2016,48.16
20-05-2016,47.67
23-05-2016,48.12
24-05-2016,48.04
25-05-2016,49.1
26-05-2016,49
27-05-2016,49.36
31-05-2016,49.1
01-06-2016,49.07
02-06-2016,49.14
03-06-2016,48.69
06-06-2016,49.71
07-06-2016,50.37
08-06-2016,51.23
09-06-2016,50.52
10-06-2016,49.09
13-06-2016,48.89
14-06-2016,48.49
15-06-2016,47.92
16-06-2016,46.14
17-06-2016,48
20-06-2016,49.4
21-06-2016,48.95
22-06-2016,49.16
23-06-2016,49.34
24-06-2016,46.7
27-06-2016,45.8
28-06-2016,47.93
29-06-2016,49.85
30-06-2016,48.27
01-07-2016,49.02
05-07-2016,46.73
06-07-2016,47.37
07-07-2016,45.22
08-07-2016,45.37
11-07-2016,44.73
12-07-2016,46.82
13-07-2016,44.87
14-07-2016,45.64
15-07-2016,45.93
18-07-2016,45.23
19-07-2016,44.64
20-07-2016,44.96
21-07-2016,43.96
22-07-2016,43.41
25-07-2016,42.4
26-07-2016,42.16
27-07-2016,41.9
28-07-2016,41.13
29-07-2016,41.54
01-08-2016,40.05
02-08-2016,39.5
03-08-2016,40.8
04-08-2016,41.92
05-08-2016,41.83
08-08-2016,43.06
09-08-2016,42.78
10-08-2016,41.75
11-08-2016,43.51
12-08-2016,44.47
15-08-2016,45.72
16-08-2016,46.57
17-08-2016,46.81
18-08-2016,48.2
19-08-2016,48.48
22-08-2016,46.8
23-08-2016,47.54
24-08-2016,46.29
25-08-2016,46.97
26-08-2016,47.64
29-08-2016,46.97
30-08-2016,46.32
31-08-2016,44.68
01-09-2016,43.17
02-09-2016,44.39
06-09-2016,44.85
07-09-2016,45.47
08-09-2016,47.63
09-09-2016,45.88
12-09-2016,46.28
13-09-2016,44.91
14-09-2016,43.62
15-09-2016,43.85
16-09-2016,43.04
19-09-2016,43.34
20-09-2016,43.85
21-09-2016,45.33
22-09-2016,46.1
23-09-2016,44.36
26-09-2016,45.6
27-09-2016,44.65
28-09-2016,47.07
29-09-2016,47.72
30-09-2016,47.72
03-10-2016,48.8
04-10-2016,48.67
05-10-2016,49.75
06-10-2016,50.44
07-10-2016,49.76
10-10-2016,49.76
11-10-2016,50.72
12-10-2016,50.14
13-10-2016,50.47
14-10-2016,50.35
17-10-2016,49.97
18-10-2016,50.3
19-10-2016,51.59
20-10-2016,50.31
21-10-2016,50.61
24-10-2016,50.18
25-10-2016,49.45
26-10-2016,48.75
27-10-2016,49.71
28-10-2016,48.72
31-10-2016,46.83
01-11-2016,46.66
02-11-2016,45.32
03-11-2016,44.66
04-11-2016,44.07
07-11-2016,44.88
08-11-2016,44.96
09-11-2016,45.2
10-11-2016,44.62
11-11-2016,43.39
14-11-2016,43.29
15-11-2016,45.86
16-11-2016,45.56
17-11-2016,45.37
18-11-2016,45.69
21-11-2016,47.48
22-11-2016,48.07
23-11-2016,46.72
25-11-2016,46.72
28-11-2016,45.66
29-11-2016,45.29
30-11-2016,49.41
01-12-2016,51.08
02-12-2016,51.7
05-12-2016,51.72
06-12-2016,50.95
07-12-2016,49.85
08-12-2016,50.84
09-12-2016,51.51
12-12-2016,52.74
13-12-2016,52.99
14-12-2016,51.01
15-12-2016,50.9
16-12-2016,51.93
19-12-2016,52.13
20-12-2016,52.22
21-12-2016,51.44
22-12-2016,51.98
23-12-2016,52.01
27-12-2016,52.82
28-12-2016,54.01
29-12-2016,53.8
30-12-2016,53.75
03-01-2017,52.36
04-01-2017,53.26
05-01-2017,53.77
06-01-2017,53.98
09-01-2017,51.95
10-01-2017,50.82
11-01-2017,52.19
12-01-2017,53.01
13-01-2017,52.36
17-01-2017,52.45
18-01-2017,51.12
19-01-2017,51.39
20-01-2017,52.33
23-01-2017,52.77
24-01-2017,52.38
25-01-2017,52.14
26-01-2017,53.24
27-01-2017,53.18
30-01-2017,52.63
31-01-2017,52.75
01-02-2017,53.9
02-02-2017,53.55
03-02-2017,53.81
06-02-2017,53.01
07-02-2017,52.19
08-02-2017,52.37
09-02-2017,52.99
10-02-2017,53.84
13-02-2017,52.96
14-02-2017,53.21
15-02-2017,53.11
16-02-2017,53.41
17-02-2017,53.41
21-02-2017,54.02
22-02-2017,53.61
23-02-2017,54.48
24-02-2017,53.99
27-02-2017,54.04
28-02-2017,54
01-03-2017,53.82
02-03-2017,52.63
03-03-2017,53.33
06-03-2017,53.19
07-03-2017,52.68
08-03-2017,49.83
09-03-2017,48.75
10-03-2017,48.05
13-03-2017,47.95
14-03-2017,47.24
15-03-2017,48.34
16-03-2017,48.3
17-03-2017,48.34
20-03-2017,47.79
21-03-2017,47.02
22-03-2017,47.29
23-03-2017,47
24-03-2017,47.3
27-03-2017,47.02
28-03-2017,48.36
29-03-2017,49.47
30-03-2017,50.3
31-03-2017,50.54
03-04-2017,50.25
04-04-2017,50.99
05-04-2017,51.14
06-04-2017,51.69
07-04-2017,52.25
10-04-2017,53.06
11-04-2017,53.38
12-04-2017,53.12
13-04-2017,53.19
17-04-2017,52.62
18-04-2017,52.46
19-04-2017,50.49
20-04-2017,50.26
21-04-2017,49.64
24-04-2017,48.9
25-04-2017,49.22
26-04-2017,49.22
27-04-2017,48.96
28-04-2017,49.31
01-05-2017,48.83
02-05-2017,47.65
03-05-2017,47.79
04-05-2017,45.55
05-05-2017,46.23
08-05-2017,46.46
09-05-2017,45.84
10-05-2017,47.28
11-05-2017,47.81
12-05-2017,47.83
15-05-2017,48.86
16-05-2017,48.64
17-05-2017,49.04
18-05-2017,49.36
19-05-2017,50.32
22-05-2017,50.81
23-05-2017,51.12
24-05-2017,50.99
25-05-2017,48.57
26-05-2017,49.58
30-05-2017,49.63
31-05-2017,48.29
01-06-2017,48.32
02-06-2017,47.68
05-06-2017,47.4
06-06-2017,48.13
07-06-2017,45.8
08-06-2017,45.68
09-06-2017,45.82
12-06-2017,46.1
13-06-2017,46.41
14-06-2017,44.79
15-06-2017,44.47
16-06-2017,44.73
19-06-2017,44.24
20-06-2017,43.34
21-06-2017,42.48
22-06-2017,42.53
23-06-2017,42.86
26-06-2017,43.24
27-06-2017,44.25
28-06-2017,44.74
29-06-2017,44.88
30-06-2017,46.02
05-07-2017,45.11
06-07-2017,45.52
07-07-2017,44.25
10-07-2017,44.4
11-07-2017,45.06
12-07-2017,45.48
13-07-2017,46.06
14-07-2017,46.53
17-07-2017,46.02
18-07-2017,46.4
19-07-2017,47.1
20-07-2017,46.73
21-07-2017,45.78
24-07-2017,46.21
25-07-2017,47.77
26-07-2017,48.58
27-07-2017,49.05
28-07-2017,49.72
31-07-2017,50.21
01-08-2017,49.19
02-08-2017,49.6
03-08-2017,49.03
04-08-2017,49.57
07-08-2017,49.37
08-08-2017,49.07
09-08-2017,49.59
10-08-2017,48.54
11-08-2017,48.81
14-08-2017,47.59
15-08-2017,47.57
16-08-2017,46.8
17-08-2017,47.07
18-08-2017,48.59
21-08-2017,47.39
22-08-2017,47.65
23-08-2017,48.45
24-08-2017,47.24
25-08-2017,47.65
28-08-2017,46.4
29-08-2017,46.46
30-08-2017,45.96
31-08-2017,47.26
01-09-2017,47.32
05-09-2017,48.63
06-09-2017,49.13
07-09-2017,49.1
08-09-2017,47.44
11-09-2017,48.06
12-09-2017,48.21
13-09-2017,49.3
14-09-2017,49.86
15-09-2017,49.9
18-09-2017,49.88
19-09-2017,49.54
20-09-2017,50.29
21-09-2017,50.58
22-09-2017,50.33
25-09-2017,51.85
26-09-2017,51.59
27-09-2017,52.14
28-09-2017,51.62
29-09-2017,51.67
02-10-2017,50.59
03-10-2017,50.44
04-10-2017,50
05-10-2017,50.79
06-10-2017,49.34
09-10-2017,49.58
10-10-2017,50.93
11-10-2017,51.3
12-10-2017,50.61
13-10-2017,51.43
16-10-2017,51.86
17-10-2017,51.87
18-10-2017,52.05
19-10-2017,51.29
20-10-2017,51.63
23-10-2017,51.91
24-10-2017,52.32
25-10-2017,51.97
26-10-2017,52.41
27-10-2017,53.92
30-10-2017,54.11
31-10-2017,54.36
01-11-2017,54.32
02-11-2017,54.55
03-11-2017,55.63
06-11-2017,57.34
07-11-2017,57.19
08-11-2017,56.82
09-11-2017,57.16
10-11-2017,56.75
13-11-2017,56.77
14-11-2017,55.67
15-11-2017,55.28
16-11-2017,55.14
17-11-2017,56.21
20-11-2017,56.21
21-11-2017,56.84
22-11-2017,57.88
24-11-2017,58.94
27-11-2017,58.1
28-11-2017,57.96
29-11-2017,57.25
30-11-2017,57.4
01-12-2017,58.35
04-12-2017,57.48
05-12-2017,57.66
06-12-2017,55.79
07-12-2017,56.5
08-12-2017,57.15
11-12-2017,57.84
12-12-2017,57.12
13-12-2017,56.59
14-12-2017,57
15-12-2017,57.29
18-12-2017,57.17
19-12-2017,57.49
20-12-2017,58.09
21-12-2017,58.34
22-12-2017,58.25
26-12-2017,59.55
27-12-2017,59.67
28-12-2017,59.84
29-12-2017,60.46
02-01-2018,60.37
03-01-2018,61.61
04-01-2018,61.98
05-01-2018,61.49
08-01-2018,61.73
09-01-2018,62.92
10-01-2018,63.6
11-01-2018,63.81
12-01-2018,64.22
16-01-2018,63.82
17-01-2018,63.92
18-01-2018,63.96
19-01-2018,63.38
22-01-2018,63.66
23-01-2018,64.45
24-01-2018,65.69
25-01-2018,65.62
26-01-2018,66.27
29-01-2018,65.71
30-01-2018,64.64
31-01-2018,64.82
01-02-2018,65.92
02-02-2018,65.5
05-02-2018,64.18
06-02-2018,63.48
07-02-2018,61.91
08-02-2018,61.3
09-02-2018,59.2
12-02-2018,59.41
13-02-2018,59.33
14-02-2018,60.7
15-02-2018,61.48
16-02-2018,61.89
20-02-2018,61.91
21-02-2018,61.73
22-02-2018,62.72
23-02-2018,63.52
26-02-2018,63.81
27-02-2018,62.94
28-02-2018,61.43
01-03-2018,60.98
02-03-2018,61.19
05-03-2018,62.49
06-03-2018,62.54
07-03-2018,61.09
08-03-2018,60.13
09-03-2018,62.02
12-03-2018,61.35
13-03-2018,60.69
14-03-2018,60.89
15-03-2018,61.16
16-03-2018,62.29
19-03-2018,62.01
20-03-2018,63.37
21-03-2018,65.1
22-03-2018,64.25
23-03-2018,65.8
26-03-2018,65.49
27-03-2018,65.21
28-03-2018,64.3
29-03-2018,64.87
02-04-2018,63.05
03-04-2018,63.41
04-04-2018,63.35
05-04-2018,63.53
06-04-2018,62.03
09-04-2018,63.4
10-04-2018,65.48
11-04-2018,66.81
12-04-2018,67.07
13-04-2018,67.35
16-04-2018,66.23
17-04-2018,66.5
18-04-2018,68.44
19-04-2018,68.3
20-04-2018,68.26
23-04-2018,67.61
24-04-2018,67.66
25-04-2018,68
26-04-2018,68.18
27-04-2018,68.11
30-04-2018,68.56
01-05-2018,67.28
02-05-2018,67.91
03-05-2018,68.45
04-05-2018,69.71
07-05-2018,70.74
08-05-2018,68.83
09-05-2018,71.16
10-05-2018,71.36
11-05-2018,70.69
14-05-2018,71.01
15-05-2018,71.34
16-05-2018,71.43
17-05-2018,71.47
18-05-2018,71.23
21-05-2018,72.26
22-05-2018,72.09
23-05-2018,71.85
24-05-2018,70.77
25-05-2018,67.92
29-05-2018,66.8
30-05-2018,68.24
31-05-2018,66.98
01-06-2018,65.81
04-06-2018,64.76
05-06-2018,65.51
06-06-2018,64.75
